"DONNEES - Effectifs des médecins"
"ANNEE - 2015"
"SEXE - Ensemble tous sexes confondus"

,AGE,"Ensemble tous âges confondus","Moins de 30 ans","Entre 30 et 34 ans","Entre 35 et 39 ans","Entre 40 et 44 ans","Entre 45 et 49 ans","Entre 50 et 54 ans","Entre 55 et 59 ans","Entre 60 et 64 ans","Entre 65 et 69 ans","70 ans et plus"
"ZONE INSCRIPT","SPECIALITE",
"FRANCE ENTIERE","Ensemble des spécialités d'exercice",222150,3757,18921,19748,20322,24148,32668,41445,37902,17759,5480
"FRANCE ENTIERE","Spécialistes",119665,1679,10907,11576,11079,13308,15736,22162,20110,9814,3294
"FRANCE ENTIERE","Anatomie et cytologie pathologiques",1578,13,124,119,143,207,246,315,282,104,25
"FRANCE ENTIERE","Anesthésie-réanimation",11149,83,1144,1384,1158,1148,1095,2070,1985,912,170
"FRANCE ENTIERE","Biologie médicale",2934,49,231,280,318,531,831,407,184,76,27
"FRANCE ENTIERE","Cardiologie et maladies vasculaires",6887,159,623,626,595,788,983,1216,1037,612,248
"FRANCE ENTIERE","Chirurgie générale",3611,100,929,295,190,228,197,542,628,374,128
"FRANCE ENTIERE","Chirurgie maxillo-faciale et stomatologie",1170,0,50,70,63,73,82,360,324,104,44
"FRANCE ENTIERE","Chirurgie orthopédique et traumatologie",3157,1,234,380,393,478,623,511,364,123,50
"FRANCE ENTIERE","Chirurgie infantile",300,0,11,54,45,67,53,29,28,11,2
"FRANCE ENTIERE","Chirurgie plastique reconstructrice et esthétique",869,0,69,125,108,111,170,134,84,40,28
"FRANCE ENTIERE","Chirurgie thoracique et cardio-vasculaire",436,0,20,77,79,75,106,42,24,12,1
"FRANCE ENTIERE","Chirurgie urologique",1171,0,99,181,181,183,221,142,108,45,11
"FRANCE ENTIERE","Chirurgie vasculaire",523,0,37,42,67,75,72,81,98,44,7
"FRANCE ENTIERE","Chirurgie viscérale et digestive",977,0,41,111,149,200,264,103,73,31,5
"FRANCE ENTIERE","Dermatologie et vénéréologie",4065,75,253,264,264,428,499,955,845,352,130
"FRANCE ENTIERE","Endocrinologie et métabolisme",1829,42,191,206,237,236,309,282,209,91,26
"FRANCE ENTIERE","Génétique médicale",239,3,23,35,29,21,47,28,30,14,9
"FRANCE ENTIERE","Gériatrie",1647,2,77,149,253,321,364,266,159,43,13
"FRANCE ENTIERE","Gynécologie médicale",3311,21,85,28,10,15,90,1198,1120,585,159
"FRANCE ENTIERE","Gynécologie-obstétrique",4577,49,637,802,555,501,606,630,459,260,78
"FRANCE ENTIERE","Hématologie",552,6,98,95,103,118,98,20,11,2,1
"FRANCE ENTIERE","Gastro-entérologie et hépatologie",3630,106,309,271,334,491,607,713,516,217,66
"FRANCE ENTIERE","Médecine du travail",5605,22,195,290,354,575,633,1346,1592,506,92
"FRANCE ENTIERE","Médecine interne",2419,14,234,251,251,310,290,299,402,268,100
"FRANCE ENTIERE","Médecine nucléaire",693,39,103,112,66,87,80,91,70,35,10
"FRANCE ENTIERE","Médecine physique et réadaptation",2043,43,114,169,179,252,217,452,394,173,50
"FRANCE ENTIERE","Néphrologie",1613,67,219,168,194,198,236,226,164,113,28
"FRANCE ENTIERE","Neuro-chirurgie",527,0,71,75,79,65,81,70,42,29,15
"FRANCE ENTIERE","Neurologie",2389,82,308,286,302,360,358,310,255,110,18
"FRANCE ENTIERE","O.R.L et chirurgie cervico faciale",3054,19,265,209,212,292,379,673,591,303,111
"FRANCE ENTIERE","Oncologie option médicale",896,8,124,115,126,148,156,100,68,41,10
"FRANCE ENTIERE","Ophtalmologie",5907,44,397,481,408,442,613,1478,1246,575,223
"FRANCE ENTIERE","Pédiatrie",7861,174,893,938,843,828,849,1350,1132,619,235
"FRANCE ENTIERE","Pneumologie",2952,61,244,240,301,381,396,575,518,197,39
