,Version,Year,Km,Price,Posted by,Phone,Argus,Evaluation
0,,2014,15000,14490,pro,06.61.71.36.89R,0,expensive
1,life,2014,3299,12990,pro,0805805802,12000,expensive
2,intens,2014,2250,15490,pro,0805805802,13800,expensive
3,zen,2013,12525,10490,pro,0175448151,10700,cheap
4,intens,2014,10,15490,pro,0805805802,13800,expensive
5,intens,2014,10,15490,pro,0805805802,13800,expensive
6,intens,2014,2250,15490,pro,0805805802,13800,expensive
7,zen,2013,31000,9500,part,,10700,cheap
8,life,2014,18032,12890,pro,0609775076,12000,expensive
9,life,2013,16100,9200,part,,10400,cheap
10,zen,2013,9600,11490,pro,0174730257,10700,expensive
11,intens,2014,12000,13500,part,,13800,cheap
12,zen,2013,16515,10990,pro,0175448163,10700,expensive
13,life,2014,3299,12990,pro,0805805802,12000,expensive
14,life,2015,1000,12990,part,,0,expensive
15,intens,2015,235,17900,pro,0677372750,0,expensive
16,life,2013,26454,8990,pro,0174704406,10400,cheap
17,intens,2013,28317,10690,pro,0174037256,11100,cheap
18,intens,2013,15310,12490,pro,0170176498,11100,expensive
19,life,2013,23874,8990,pro,0170176499,10400,cheap
20,zen,2014,6500,12990,pro,0182714652,12400,expensive
21,,2012,28000,4990,pro,06 67 52 43 55E,0,expensive
22,life,2014,14600,10500,part,,12000,cheap
23,zen,2013,13947,11790,pro,06.69.50.92.20,10700,expensive
24,,2012,44000,6500,part,,0,expensive
25,life,2013,27699,9800,pro,0422170191,10400,cheap
26,life,2015,3,13990,pro,0805805802,0,expensive
27,zen,2013,39193,13800,pro,0682177533,10700,expensive
28,,2013,18600,12000,part,06 81 31 28 45.,0,expensive
29,zen,2013,30000,10000,part,,10700,cheap
30,,2013,11000,12000,part,,0,expensive
31,zen,2013,14000,12500,part,,10700,expensive
