company;company_id;business_account_name;business_account_id;campaign_id;campaign;creative_id;article_title;sponsored_update_text;sponsored_date;viral;impressions;clicks;likes;shares;comments;follows;total_revenue;Imps ;Clics;Social Actions;Social Actions 2;revenue;Campaign total Budget;creative link;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;113651171;01_US_Digital Customer Experience_CPM;26810671;Forbes | Why You Should Welcome Difficult Customers...;From Content Loop, powered by Capgemini, the only continuous source of business and technology news...;2014-03-03 06:47:09;sponsored;1;0;0;0;0;0;0,01996; 	1   ; 	-     ; 	-     ; 	-     ; $US	0,01 ; $US	12 000,00 ;http://www.content-loop.com/why-you-should-welcome-difficult-customers/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;113651171;01_US_Digital Customer Experience_CPM;26760761;ReadWrite | The Internet Of Things: The Real Money is in The Internet...;From Content Loop, powered by Capgemini, the only continuous source of business and technology news...;2014-03-03 06:47:09;sponsored;24835;42;1;0;0;0;520,56105; 	24 540   ; 	42   ; 	1   ; 	1   ; $US	371,09 ; $US	12 000,00 ;http://www.content-loop.com/the-internet-of-things-the-real-money-is-the-internet-not-the-things/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;113651171;01_US_Digital Customer Experience_CPM;26760761;ReadWrite | The Internet Of Things: The Real Money is in The Internet...;From Content Loop, powered by Capgemini, the only continuous source of business and technology news...;2014-03-03 06:47:09;viral;164;0;0;0;0;0;0; 	164   ; 	-     ; 	-     ; 	-     ; $US	-   ; $US	12 000,00 ;http://www.content-loop.com/the-internet-of-things-the-real-money-is-the-internet-not-the-things/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;113651171;01_US_Digital Customer Experience_CPM;26656821;ReadWrite | Why I Want To Go Back To Android...;From Content Loop, powered by Capgemini, the only continuous source of business and technology news...;2014-03-03 06:47:09;sponsored;25471;85;3;0;1;1;537,05887; 	25 122   ; 	83   ; 	5   ; 	5   ; $US	382,11 ; $US	12 000,00 ;http://www.content-loop.com/why-i-want-to-go-back-to-android/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;113651171;01_US_Digital Customer Experience_CPM;26656821;ReadWrite | Why I Want To Go Back To Android...;From Content Loop, powered by Capgemini, the only continuous source of business and technology news...;2014-03-03 06:47:09;viral;400;1;1;0;0;0;0; 	400   ; 	1   ; 	1   ; 	1   ; $US	-   ; $US	12 000,00 ;http://www.content-loop.com/why-i-want-to-go-back-to-android/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;113651171;01_US_Digital Customer Experience_CPM;26501881;Huffington Post | Trouble With the Smartphone Curve...;http://lnkd.in/dNzdjgW...;2014-03-03 06:47:09;sponsored;317092;1172;11;3;12;7;6706,76045; 	313 266   ; 	1 157   ; 	33   ; 	33   ; $US	4 781,00 ; $US	12 000,00 ;http://www.content-loop.com/trouble-with-the-smartphone-curve/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;113651171;01_US_Digital Customer Experience_CPM;26501881;Huffington Post | Trouble With the Smartphone Curve...;http://lnkd.in/dNzdjgW...;2014-03-03 06:47:09;viral;6411;32;0;0;1;0;0; 	6 411   ; 	32   ; 	1   ; 	1   ; $US	-   ; $US	12 000,00 ;http://www.content-loop.com/trouble-with-the-smartphone-curve/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;113651171;01_US_Digital Customer Experience_CPM;26392071;ReadWrite | Your Future Car May Be A Living Room on Wheels...;http://lnkd.in/d5tqi5e...;2014-03-03 06:47:09;sponsored;261428;907;28;11;17;10;5465,36446; 	258 366   ; 	897   ; 	66   ; 	66   ; $US	3 914,38 ; $US	12 000,00 ;http://www.content-loop.com/your-future-car-may-be-a-living-room-on-wheels/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;113651171;01_US_Digital Customer Experience_CPM;26392071;ReadWrite | Your Future Car May Be A Living Room on Wheels...;http://lnkd.in/d5tqi5e...;2014-03-03 06:47:09;viral;19656;94;6;2;8;2;0; 	19 656   ; 	94   ; 	18   ; 	18   ; $US	-   ; $US	12 000,00 ;http://www.content-loop.com/your-future-car-may-be-a-living-room-on-wheels/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;113651171;01_US_Digital Customer Experience_CPM;26342661;ReadWrite | Why The Facebook-WhatsApp Deal Is Bad For Users...;;2014-03-03 06:47:09;sponsored;172002;287;3;3;4;5;3555,68017; 	169 871   ; 	286   ; 	15   ; 	14   ; $US	2 551,96 ; $US	12 000,00 ;http://www.content-loop.com/why-the-facebook-whatsapp-deal-is-bad-for-users/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;113651171;01_US_Digital Customer Experience_CPM;26342661;ReadWrite | Why The Facebook-WhatsApp Deal Is Bad For Users...;;2014-03-03 06:47:09;viral;2501;11;0;0;0;0;0; 	2 501   ; 	11   ; 	-     ; 	-     ; $US	-   ; $US	12 000,00 ;http://www.content-loop.com/why-the-facebook-whatsapp-deal-is-bad-for-users/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;24032363;;;2014-12-01 02:20:51;sponsored;1427;1;0;0;0;0;39,49573; 	1 426   ; 	1   ; 	-     ; 	-     ; $US	31,69 ; $US	8 168,77 ;http://bit.ly/13bZbJK;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;24032243;;;2014-12-01 02:20:51;sponsored;1480;0;0;0;0;0;41,28939; 	1 479   ; 	-     ; 	-     ; 	-     ; $US	33,12 ; $US	8 168,77 ;http://bit.ly/13ue3nS;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23973593;;;2014-12-01 02:20:51;sponsored;2475;0;0;0;0;0;70,26705; 	2 475   ; 	-     ; 	-     ; 	-     ; $US	56,38 ; $US	8 168,77 ;http://bit.ly/1wIqo4B;;;
