Year,Total Gross,Change,Tickets Sold,Change,# of Movies,Total Screens,Avg Ticket Price,Avg Cost
2014-12-31,10360.6,-5.2,1268.1,-5.6,698.0,,8.17,
2013-12-31,10923.6,0.8,1343.6,-1.3,687.0,,8.13,
2012-12-31,10837.4,6.5,1361.5,6.1,665.0,,7.96,
2011-12-31,10174.3,-3.7,1283.0,-4.2,602.0,,7.93,
2010-12-31,10565.6,-0.3,1339.1,-5.2,536.0,,7.89,
2009-12-31,10595.5,10.0,1412.7,5.3,521.0,,7.5,
2008-12-31,9630.7,-0.3,1341.3,-4.5,608.0,,7.18,
2007-12-31,9663.8,4.9,1404.6,-0.1,631.0,,6.88,
2006-12-31,9209.5,4.2,1406.0,2.0,608.0,,6.55,
2005-12-31,8840.5,-5.8,1379.2,-8.7,547.0,,6.41,
2004-12-31,9380.5,1.5,1510.5,-1.4,551.0,,6.21,
2003-12-31,9239.7,0.9,1532.3,-2.8,506.0,,6.03,63.8
2002-12-31,9155.0,8.8,1575.7,6.0,479.0,35592.0,5.81,58.8
2001-12-31,8412.5,9.8,1487.3,4.7,482.0,36764.0,5.66,47.7
2000-12-31,7661.0,2.9,1420.8,-3.0,478.0,37396.0,5.39,54.8
1999-12-31,7448.0,7.2,1465.2,-1.1,461.0,37185.0,5.08,51.5
1998-12-31,6949.0,9.2,1480.7,6.7,509.0,34186.0,4.69,52.7
1997-12-31,6365.9,7.7,1387.7,3.7,510.0,31640.0,4.59,53.4
1996-12-31,5911.5,7.6,1338.6,6.0,471.0,29690.0,4.42,39.8
1995-12-31,5493.5,1.8,1262.6,-2.3,411.0,27805.0,4.35,36.4
1994-12-31,5396.2,4.7,1291.7,3.8,453.0,26586.0,4.18,34.3
1993-12-31,5154.2,5.8,1244.0,6.0,462.0,25737.0,4.14,29.9
1992-12-31,4871.0,1.4,1173.2,2.9,480.0,25105.0,4.15,28.9
1991-12-31,4803.2,-4.4,1140.6,-4.0,458.0,24570.0,4.21,26.1
1990-12-31,5021.8,-0.2,1188.6,-5.9,410.0,23689.0,4.23,26.8
1989-12-31,5033.4,12.9,1262.8,16.4,502.0,23132.0,3.97,23.5
1988-12-31,4458.4,4.8,1084.8,-0.3,510.0,23234.0,4.11,18.1
1987-12-31,4252.9,12.6,1088.5,7.0,509.0,23555.0,3.91,20.1
1986-12-31,3778.0,0.8,1017.2,-3.7,451.0,22765.0,3.71,17.5
1985-12-31,3749.2,-7.0,1056.1,-11.9,470.0,21147.0,3.55,16.8
1984-12-31,4031.0,7.0,1199.0,0.2,536.0,20200.0,3.36,14.4
1983-12-31,3766.0,9.1,1197.0,1.9,495.0,18884.0,3.15,11.9
1982-12-31,3453.0,16.4,1175.0,10.1,428.0,18020.0,2.94,11.8
1981-12-31,2966.0,7.9,1067.0,4.4,173.0,18040.0,2.78,11.3
1980-12-31,2749.0,,1022.0,,161.0,17590.0,2.69,9.4
