"Date"	"Side 1"	"Side 1 Duration"	"Start Time 1"	"Side 2"	"Side 2 Duration"	"Start Time 2"	"Total Duration"	"Note"
" 11/29/12 13:15:57 GMT+01:00"	"R"	"00:07"	" 11/29/12 13:15:57 GMT+01:00"	""	""	""	"00:07"	""
" 11/29/12 12:39:50 GMT+01:00"	"R"	"00:12"	" 11/29/12 12:39:50 GMT+01:00"	""	""	""	"00:12"	""
" 11/29/12 10:23:35 GMT+01:00"	"L"	"00:09"	" 11/29/12 10:23:35 GMT+01:00"	""	""	""	"00:09"	""
" 11/29/12 8:43:59 GMT+01:00"	"R"	"00:08"	" 11/29/12 8:43:59 GMT+01:00"	""	""	""	"00:08"	""
" 11/29/12 7:42:03 GMT+01:00"	"L"	"00:08"	" 11/29/12 7:42:03 GMT+01:00"	""	""	""	"00:08"	""
" 11/28/12 20:03:59 GMT+01:00"	"L"	"00:07"	" 11/28/12 20:03:59 GMT+01:00"	""	""	""	"00:07"	""
" 11/28/12 17:05:52 GMT+01:00"	"R"	"00:24"	" 11/28/12 17:05:52 GMT+01:00"	""	""	""	"00:24"	""
" 11/28/12 15:36:02 GMT+01:00"	"L"	"00:11"	" 11/28/12 15:36:02 GMT+01:00"	""	""	""	"00:11"	""
" 11/28/12 13:11:41 GMT+01:00"	"R"	"00:13"	" 11/28/12 13:11:41 GMT+01:00"	""	""	""	"00:13"	""
" 11/28/12 9:47:04 GMT+01:00"	"L"	"00:11"	" 11/28/12 9:47:04 GMT+01:00"	""	""	""	"00:11"	""
" 11/28/12 8:38:21 GMT+01:00"	"L"	"00:06"	" 11/28/12 8:38:21 GMT+01:00"	""	""	""	"00:06"	""
" 11/28/12 7:36:55 GMT+01:00"	"R"	"00:17"	" 11/28/12 7:36:55 GMT+01:00"	""	""	""	"00:17"	""
" 11/27/12 19:15:29 GMT+01:00"	"L"	"00:04"	" 11/27/12 19:15:29 GMT+01:00"	""	""	""	"00:04"	""
" 11/27/12 17:42:39 GMT+01:00"	"R"	"00:13"	" 11/27/12 17:42:39 GMT+01:00"	""	""	""	"00:13"	""
" 11/27/12 15:39:17 GMT+01:00"	"L"	"00:06"	" 11/27/12 15:39:17 GMT+01:00"	""	""	""	"00:06"	""
" 11/27/12 14:45:26 GMT+01:00"	"L"	"00:13"	" 11/27/12 14:45:26 GMT+01:00"	""	""	""	"00:13"	""
" 11/27/12 10:28:41 GMT+01:00"	"R"	"00:19"	" 11/27/12 10:28:41 GMT+01:00"	""	""	""	"00:19"	""
" 11/27/12 8:51:59 GMT+01:00"	"L"	"00:11"	" 11/27/12 8:51:59 GMT+01:00"	""	""	""	"00:11"	""
" 11/27/12 7:46:23 GMT+01:00"	"R"	"00:13"	" 11/27/12 7:46:23 GMT+01:00"	""	""	""	"00:13"	""
" 11/26/12 20:32:34 GMT+01:00"	"R"	"00:13"	" 11/26/12 20:32:34 GMT+01:00"	""	""	""	"00:13"	""
" 11/26/12 19:15:04 GMT+01:00"	"L"	"00:08"	" 11/26/12 19:15:04 GMT+01:00"	""	""	""	"00:08"	""
" 11/26/12 17:35:54 GMT+01:00"	"L"	"00:09"	" 11/26/12 17:35:54 GMT+01:00"	""	""	""	"00:09"	""
" 11/26/12 17:11:19 GMT+01:00"	"R"	"00:10"	" 11/26/12 17:11:19 GMT+01:00"	""	""	""	"00:10"	""
" 11/26/12 15:19:25 GMT+01:00"	"L"	"00:09"	" 11/26/12 15:19:25 GMT+01:00"	""	""	""	"00:09"	""
