,TIME,GEO,UNIT,SEX,AGE,ICD10,Value,Flag and Footnotes
792,2007,France,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98,273401,
793,2007,France,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99),5266,
794,2007,France,Number,Males,Total,Tuberculosis,364,
795,2007,France,Number,Males,Total,Meningococcal infection,17,
796,2007,France,Number,Males,Total,Viral hepatitis,408,
797,2007,France,Number,Males,Total,Human immunodeficiency virus [HIV] disease,597,
798,2007,France,Number,Males,Total,Neoplasms,93773,
799,2007,France,Number,Males,Total,Malignant neoplasms (C00-C97),90397,
800,2007,France,Number,Males,Total,"Malignant neoplasm of lip, oral cavity, pharynx",3317,
801,2007,France,Number,Males,Total,Malignant neoplasm of oesophagus,3196,
802,2007,France,Number,Males,Total,Malignant neoplasm of stomach,3123,
803,2007,France,Number,Males,Total,Malignant neoplasm of colon,6416,
804,2007,France,Number,Males,Total,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",2357,
805,2007,France,Number,Males,Total,Malignant neoplasm of liver and intrahepatic bile ducts,5529,
806,2007,France,Number,Males,Total,Malignant neoplasm of pancreas,4493,
807,2007,France,Number,Males,Total,"Malignant neoplasm of larynx,  trachea, bronchus and lung",23584,
808,2007,France,Number,Males,Total,Malignant melanoma of skin,879,
809,2007,France,Number,Males,Total,Malignant neoplasm of breast,225,
810,2007,France,Number,Males,Total,Malignant neoplasm of cervix uteri,0,
811,2007,France,Number,Males,Total,Malignant neoplasm of other parts of uterus,0,
812,2007,France,Number,Males,Total,Malignant neoplasm of ovary,0,
813,2007,France,Number,Males,Total,Malignant neoplasm of prostate,9297,
814,2007,France,Number,Males,Total,"Malignant neoplasm of kidney, except renal pelvis",2015,
815,2007,France,Number,Males,Total,Malignant neoplasm of bladder,3674,
816,2007,France,Number,Males,Total,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6958,
817,2007,France,Number,Males,Total,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1025,
818,2007,France,Number,Males,Total,"Endocrine, nutritional and metabolic diseases (E00-E90)",8392,
819,2007,France,Number,Males,Total,Diabetes mellitus,5367,
820,2007,France,Number,Males,Total,Mental and behavioural disorders (F00-F99),7420,
821,2007,France,Number,Males,Total,Mental and behavioural disorders due to use of alcohol,2438,
822,2007,France,Number,Males,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",172,
823,2007,France,Number,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),11612,
824,2007,France,Number,Males,Total,Meningitis,79,
825,2007,France,Number,Males,Total,Diseases of the circulatory system (I00-I99),69630,
826,2007,France,Number,Males,Total,Ischaemic heart diseases,22027,
827,2007,France,Number,Males,Total,"Other heart diseases (I30-I33, I39-I52)",19416,
828,2007,France,Number,Males,Total,Cerebrovascular diseases,14085,
829,2007,France,Number,Males,Total,Diseases of the respiratory system (J00-J99),17257,
830,2007,France,Number,Males,Total,Influenza,96,
831,2007,France,Number,Males,Total,Pneumonia,5118,
832,2007,France,Number,Males,Total,Chronic lower respiratory diseases,5649,
833,2007,France,Number,Males,Total,Asthma and status asthmaticus,368,
834,2007,France,Number,Males,Total,Diseases of the digestive system (K00-K93),12641,
835,2007,France,Number,Males,Total,"Ulcer of stomach, duodenum and jejunum",398,
836,2007,France,Number,Males,Total,Chronic liver disease,5453,
837,2007,France,Number,Males,Total,Diseases of the skin and subcutaneous tissue (L00-L99),504,
838,2007,France,Number,Males,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),1138,
839,2007,France,Number,Males,Total,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",138,
840,2007,France,Number,Males,Total,Diseases of the genitourinary system  (N00-N99),4180,
841,2007,France,Number,Males,Total,Diseases of kidney and ureter,3239,
842,2007,France,Number,Males,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",0,
843,2007,France,Number,Males,Total,Certain conditions originating in the perinatal period (P00-P96),859,
844,2007,France,Number,Males,Total,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",899,
845,2007,France,Number,Males,Total,Congenital malformations of the nervous system,69,
846,2007,France,Number,Males,Total,Congenital malformations of the circulatory system,354,
847,2007,France,Number,Males,Total,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",16045,
848,2007,France,Number,Males,Total,Sudden infant death syndrome,133,
849,2007,France,Number,Males,Total,Ill-defined and unknown causes of mortality,7022,
850,2007,France,Number,Males,Total,External causes of morbidity and mortality (V01-Y89),22760,
851,2007,France,Number,Males,Total,Accidents,13585,
852,2007,France,Number,Males,Total,Transport accidents (V01-V99),3697,
853,2007,France,Number,Males,Total,Falls,2657,
854,2007,France,Number,Males,Total,Accidental poisoning by and exposure to noxious substances,709,
855,2007,France,Number,Males,Total,Intentional self-harm,7559,
856,2007,France,Number,Males,Total,Assault,268,
857,2007,France,Number,Males,Total,Event of undetermined intent,425,
858,2007,France,Number,Females,Total,All causes of death (A00-Y89) excluding S00-T98,257419,
859,2007,France,Number,Females,Total,Certain infectious and parasitic diseases (A00-B99),4938,
860,2007,France,Number,Females,Total,Tuberculosis,318,
861,2007,France,Number,Females,Total,Meningococcal infection,17,
862,2007,France,Number,Females,Total,Viral hepatitis,317,
863,2007,France,Number,Females,Total,Human immunodeficiency virus [HIV] disease,197,
864,2007,France,Number,Females,Total,Neoplasms,64724,
865,2007,France,Number,Females,Total,Malignant neoplasms (C00-C97),61499,
866,2007,France,Number,Females,Total,"Malignant neoplasm of lip, oral cavity, pharynx",733,
867,2007,France,Number,Females,Total,Malignant neoplasm of oesophagus,780,
868,2007,France,Number,Females,Total,Malignant neoplasm of stomach,1734,
869,2007,France,Number,Females,Total,Malignant neoplasm of colon,5937,
870,2007,France,Number,Females,Total,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",1842,
871,2007,France,Number,Females,Total,Malignant neoplasm of liver and intrahepatic bile ducts,1937,
872,2007,France,Number,Females,Total,Malignant neoplasm of pancreas,4246,
873,2007,France,Number,Females,Total,"Malignant neoplasm of larynx,  trachea, bronchus and lung",6729,
874,2007,France,Number,Females,Total,Malignant melanoma of skin,675,
875,2007,France,Number,Females,Total,Malignant neoplasm of breast,11522,
876,2007,France,Number,Females,Total,Malignant neoplasm of cervix uteri,714,
877,2007,France,Number,Females,Total,Malignant neoplasm of other parts of uterus,2481,
878,2007,France,Number,Females,Total,Malignant neoplasm of ovary,3393,
879,2007,France,Number,Females,Total,Malignant neoplasm of prostate,0,
880,2007,France,Number,Females,Total,"Malignant neoplasm of kidney, except renal pelvis",1021,
881,2007,France,Number,Females,Total,Malignant neoplasm of bladder,1183,
882,2007,France,Number,Females,Total,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",5887,
883,2007,France,Number,Females,Total,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1163,
884,2007,France,Number,Females,Total,"Endocrine, nutritional and metabolic diseases (E00-E90)",11019,
885,2007,France,Number,Females,Total,Diabetes mellitus,6134,
886,2007,France,Number,Females,Total,Mental and behavioural disorders (F00-F99),9692,
887,2007,France,Number,Females,Total,Mental and behavioural disorders due to use of alcohol,601,
888,2007,France,Number,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",27,
889,2007,France,Number,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),17305,
890,2007,France,Number,Females,Total,Meningitis,89,
891,2007,France,Number,Females,Total,Diseases of the circulatory system (I00-I99),78472,
892,2007,France,Number,Females,Total,Ischaemic heart diseases,16663,
893,2007,France,Number,Females,Total,"Other heart diseases (I30-I33, I39-I52)",25355,
894,2007,France,Number,Females,Total,Cerebrovascular diseases,18724,
895,2007,France,Number,Females,Total,Diseases of the respiratory system (J00-J99),15348,
896,2007,France,Number,Females,Total,Influenza,153,
897,2007,France,Number,Females,Total,Pneumonia,5401,
898,2007,France,Number,Females,Total,Chronic lower respiratory diseases,3539,
899,2007,France,Number,Females,Total,Asthma and status asthmaticus,694,
900,2007,France,Number,Females,Total,Diseases of the digestive system (K00-K93),10833,
