movie_display_name,movie_production_year,movie_genre_display_name,movie_financial_summary_production_budget,movie_financial_summary_international_box_office,movie_annual_summary_tickets_sold,movie_video_summary_domestic_dvd_units,movie_acting_role_display_name,movie_theatrical_release_release_date,movie_creative_type_display_name,movie_production_method_display_name,movie_source_display_name,movie_running_time,movie_technical_role_display_name,movie_production_company_display_name,movie_sequel
Transformers: Revenge of the Fallen,2009,Action,210000000,434407829,53614916,11083425,Shia LaBeouf,2009-06-24,Science Fiction,Animation/Live Action,Based on TV,149,Michael Bay,DreamWorks,1
Harry Potter and the Half-Blood Prince,2009,Adventure,250000000,633124489,40261226,11455655,Gemma Jones,2009-07-15,Fantasy,Animation/Live Action,Based on Fiction Book/Short Story,153,David Yates,Heyday Films,1
Up,2009,Adventure,175000000,438538457,39067222,12995860,Christopher Plummer,2009-05-29,Fantasy,Digital Animation,Original Screenplay,89,Pete Docter,Walt Disney Pictures,0
The Hangover,2009,Comedy,35000000,188441583,36976334,12777650,Mike Tyson,2009-06-05,Contemporary Fiction,Live Action,Original Screenplay,100,Todd Phillips,Warner Bros,0
Star Trek,2009,Adventure,140000000,127950427,34364003,8777343,Zachary Quinto,2009-05-08,Science Fiction,Live Action,Based on TV,125,J.J. Abrams,Bad Robot,1
Monsters vs. Aliens,2009,Adventure,175000000,183335854,26446870,5911147,Reese Witherspoon,2009-03-27,Kids Fiction,Digital Animation,Based on Comic/Graphic Novel,95,Rob Letterman,DreamWorks Animation,0
Ice Age: Dawn of the Dinosaurs,2009,Adventure,90000000,663128152,26209827,6438949,Kristen Wiig,2009-07-01,Kids Fiction,Digital Animation,Original Screenplay,93,Carlos Saldanha,Blue Sky Studios,1
X-Men Origins: Wolverine,2009,Action,150000000,194942603,23984421,5494018,Hugh Jackman,2009-05-01,Super Hero,Live Action,Spin-Off,107,Gavin Hood,20th Century Fox,0
Night at the Museum: Battle of the Smithsonian,2009,Comedy,150000000,224987342,23632496,4396089,Ben Stiller,2009-05-22,Fantasy,Live Action,Based on Fiction Book/Short Story,105,Shawn Levy,Twentieth Century Fox,1
The Proposal,2009,Romantic Comedy,40000000,150751686,21861071,6938929,Sandra Bullock,2009-06-19,Contemporary Fiction,Live Action,Original Screenplay,107,Anne Fletcher,Touchstone Pictures,0
Fast & Furious,2009,Action,85000000,208000000,20675235,4141176,Shea Whigham,2009-04-03,Contemporary Fiction,Live Action,Based on Factual Book/Article,107,Justin Lin,Universal Pictures,1
G.I. Joe: The Rise of Cobra,2009,Action,175000000,152267519,20026866,4708941,Byung-hun Lee,2009-08-07,Contemporary Fiction,Animation/Live Action,Based on Toy,118,David Elliot,di Bonaventura Pictures,0
Paul Blart: Mall Cop,2009,Comedy,26000000,39568572,19511490,3879392,Kevin James,2009-01-16,Contemporary Fiction,Live Action,Original Screenplay,91,Steve Carr,Columbia Pictures,0
Taken,2009,Thriller/Suspense,25000000,81940596,19333465,5499564,Liam Neeson,2009-01-30,Contemporary Fiction,Live Action,Original Screenplay,91,Pierre Morel,Europacorp,0
