,user,score
0,torvalds,13804.5
1,mbostock,1456.2
2,mrdoob,1020.0
3,Trinea,852.2777777777778
4,antirez,804.3333333333334
5,mitsuhiko,690.1666666666666
6,JakeWharton,659.0
7,photonstorm,628.8947368421053
8,zenorocha,590.6333333333333
9,prakhar1989,487.3333333333333
10,johnpapa,478.2
11,philipwalton,394.53333333333336
12,kripken,370.2
13,addyosmani,369.2
14,mdo,368.76666666666665
15,chjj,364.8
16,SamyPesse,356.6333333333333
17,aFarkas,344.7
18,afollestad,332.88235294117646
19,gorhill,328.3157894736842
20,KrauseFx,308.6923076923077
21,fzaninotto,290.03333333333336
22,jessesquires,276.26666666666665
23,tomchristie,269.92
24,andreamazz,265.1666666666667
25,pedrovgs,264.44827586206895
26,mikepenz,232.16666666666666
27,mgcrea,220.06666666666666
28,tbranyen,219.1
29,mrmrs,218.4
30,ChenYilong,213.7037037037037
31,mgechev,203.23333333333332
32,jordansissel,203.03333333333333
33,Shougo,196.1
34,fatih,192.1
35,lihaoyi,187.68965517241378
36,hueniverse,163.4
37,desandro,149.86666666666667
38,wbond,148.6
39,maxogden,147.93333333333334
40,sebastianbergmann,147.76666666666668
41,jgm,145.7
42,nzakas,144.96666666666667
43,rxin,134.5
44,ai,132.76666666666668
45,junegunn,131.83333333333334
46,weavejester,131.2
47,jspahrsummers,128.76666666666668
48,mitchellh,127.4
49,jezdez,126.875
50,Unknwon,126.5
51,marijnh,123.25925925925925
52,laruence,123.03333333333333
53,swankjesse,122.0
54,apotonick,120.23333333333333
55,josevalim,107.8
56,DataTables,105.3
57,armon,102.2
58,mourner,99.92592592592592
59,bboyfeiyu,99.8
60,RubyLouvre,98.3
61,bergie,89.53333333333333
62,phodal,88.76923076923077
63,ebidel,86.76666666666667
64,josh,84.76666666666667
65,kelseyhightower,82.5
66,pydanny,81.36666666666666
67,technoweenie,79.66666666666667
68,gitster,78.16666666666667
69,muan,77.16666666666667
70,michael,75.16666666666667
71,lepture,69.36666666666666
72,willdurand,68.9
73,munificent,68.8
74,HugoGiraudel,67.44
75,evancz,66.9
76,kartik-v,66.26666666666667
77,bbatsov,65.93333333333334
78,luin,64.8
79,ashfurrow,62.2
80,jfrazelle,59.56666666666667
81,svenfuchs,58.36666666666667
