Version,Year,Mileage,Price,Phone Number,isPro,RatingPrice,BetterThanRating
life,2014,3299,12990,+33805805802,True,12000,False
intens,2014,2250,15490,+33805805802,True,13800,False
intens,2014,10,15490,+33805805802,True,13800,False
intens,2014,10,15490,+33805805802,True,13800,False
intens,2014,2250,15490,+33805805802,True,13800,False
zen,2013,31000,9500,,False,10700,True
life,2014,18032,12890,+33609775076,True,12000,False
life,2013,16100,9200,,False,10400,True
intens,2014,12000,13500,,False,13800,True
zen,2013,16515,10990,+33175448163,True,10700,False
life,2014,3299,12990,+33805805802,True,12000,False
life,2015,1000,12990,,False,0,False
intens,2015,235,17900,+33677372750,True,0,False
life,2013,26454,8990,+33174704406,True,10400,True
intens,2013,28317,10690,+33174037256,True,11100,True
intens,2013,15310,12490,+33170176498,True,11100,False
life,2013,23874,8990,+33170176499,True,10400,True
zen,2014,6500,12990,+33182714652,True,12400,False
intens,2014,6222,13590,+33805805802,True,13800,True
life,2014,14600,10500,,False,12000,True
zen,2013,13947,11790,+33669509220,True,10700,False
life,2013,27699,9800,+33422170191,True,10400,True
life,2015,3,13990,+33805805802,True,0,False
zen,2013,39193,13800,+33494110548 +33682177533,True,10700,False
,2013,18600,12000,+33681312845,False,,
zen,2013,30000,10000,,False,10700,True
,2013,11000,12000,,False,,
zen,2013,14000,12500,,False,10700,False
