[14449.5, u'torvalds']
[1965.6521739130435, u'mbostock']
[1139.3333333333333, u'bboyfeiyu']
[1088.6538461538462, u'mrdoob']
[1060.1111111111111, u'zenorocha']
[934.75, u'prakhar1989']
[891.25, u'aFarkas']
[826.56666666666672, u'antirez']
[747.37931034482756, u'mitsuhiko']
[716.0344827586207, u'JakeWharton']
[622.35000000000002, u'photonstorm']
[612.5, u'johnpapa']
[544.24000000000001, u'addyosmani']
[493.29411764705884, u'andreamazz']
[456.72000000000003, u'kripken']
[400.25, u'SamyPesse']
[394.17391304347825, u'fzaninotto']
[387.60000000000002, u'chjj']
[377.73333333333335, u'mdo']
[374.83333333333331, u'gorhill']
[365.55555555555554, u'DataTables']
[353.16666666666669, u'pedrovgs']
[340.19230769230768, u'jessesquires']
[334.43478260869563, u'mikepenz']
[328.76923076923077, u'KrauseFx']
[327.60000000000002, u'ChenYilong']
[311.13043478260869, u'afollestad']
[296.52380952380952, u'jordansissel']
[286.11111111111109, u'n1k0']
[277.3478260869565, u'jamztang']
[265.29411764705884, u'junegunn']
[256.30769230769232, u'mrmrs']
[248.72222222222223, u'nzakas']
[237.45454545454547, u'hueniverse']
[232.84615384615384, u'Shougo']
[217.90000000000001, u'mgechev']
[215.31578947368422, u'rxin']
[214.95454545454547, u'maxogden']
[211.33333333333334, u'ankane']
[211.13333333333333, u'Unknwon']
[204.39130434782609, u'wbond']
[192.63333333333333, u'lihaoyi']
[184.22222222222223, u'una']
[161.47999999999999, u'weavejester']
[159.39130434782609, u'apotonick']
[159.0, u'desandro']
[154.45454545454547, u'wenzhixin']
[152.96666666666667, u'sebastianbergmann']
[151.53333333333333, u'jgm']
[148.0, u'jezdez']
[143.03703703703704, u'laruence']
[137.20689655172413, u'mitchellh']
[134.93333333333334, u'jspahrsummers']
[131.31818181818181, u'kishikawakatsumi']
[131.10344827586206, u'ai']
[125.66666666666667, u'swankjesse']
[124.33333333333333, u'pydanny']
[121.88235294117646, u'luin']
[121.20833333333333, u'phodal']
[114.5, u'armon']
[112.51724137931035, u'josevalim']
[112.31999999999999, u'mourner']
[111.875, u'4148']
[111.59999999999999, u'bdarnell']
[110.48275862068965, u'RubyLouvre']
[108.45, u'lepture']
[105.375, u'JedWatson']
[104.18181818181819, u'fatih']
[100.80952380952381, u'munificent']
[97.965517241379317, u'overtrue']
[96.359999999999999, u'evancz']
[95.200000000000003, u'gitster']
[95.058823529411768, u'passy']
[91.333333333333329, u'bergie']
[89.222222222222229, u'technoweenie']
[89.034482758620683, u'ebidel']
[88.439999999999998, u'HugoGiraudel']
[84.120000000000005, u'evanw']
[82.772727272727266, u'zcbenz']
[82.533333333333331, u'ericdouglas']
[81.884615384615387, u'willdurand']
[78.043478260869563, u'marijnh']
[77.791666666666671, u'josh']
[75.833333333333329, u'jfrazelle']
[74.535714285714292, u'bbatsov']
[73.705882352941174, u'soumith']
[73.578947368421055, u'GrahamCampbell']
[73.433333333333337, u'kartik-v']
[70.94736842105263, u'michaelliao']
[70.625, u'numbbbbb']
[68.538461538461533, u'svenfuchs']
[66.80952380952381, u'clowwindy']
[65.0625, u'domenic']
[64.222222222222229, u'mjackson']
[63.379310344827587, u'kriskowal']
[61.275862068965516, u'dcramer']
[61.0, u'imathis']
[59.280000000000001, u'mnot']
[58.033333333333331, u'yihui']
[56.620689655172413, u'feross']
[56.416666666666664, u'gaearon']
[53.75, u'justintadlock']
[53.333333333333336, u'tommy351']
[52.666666666666664, u'graydon']
[52.444444444444443, u'hadley']
[51.272727272727273, u'indutny']
[50.555555555555557, u'maryrosecook']
[49.962962962962962, u'orta']
[49.523809523809526, u'mafintosh']
[47.875, u'fabpot']
[47.833333333333336, u'staltz']
[45.142857142857146, u'CharlinFeng']
[45.0, u'rdegges']
[43.0, u'SamSaffron']
[42.370370370370374, u'rstacruz']
[41.071428571428569, u'matyhtf']
[40.75, u'tmcw']
[40.545454545454547, u'shiffman']
[39.399999999999999, u'darwin']
[38.551724137931032, u'jedisct1']
[38.350000000000001, u'matthewmueller']
[37.518518518518519, u'rvagg']
[37.045454545454547, u'TooTallNate']
[36.444444444444443, u'kytrinyx']
[35.636363636363633, u'notwaldorf']
[32.533333333333331, u'markstory']
