DEPARTEMENT,SPECIALISTES,ANATOMIE,ANESTHESIE,BIOLOGIE,CARDIOLOGIE,CHIRURGIE,STOMATOLOGIE,TRAUMATOLOGIE,CHIR_INFANT,CHIR_PLASTIQUE,CHIR_CARDIO,CHIR_UROLOGIQUE,CHIR_VASCULAIRE,CHIR_DISGESTIVE,DERMATOLOGIE,ENDOCRINOLOGIE,GENETIQUE,GERIATRIE,GYNECOLOGIE,OBSTETRIQUE,HEMATOLOGIE,HEPATOLOGIE,MEDECINE_NUCLEAIRE,READAPTATION,NEPHROLOGIE,NEURO_CHIRURGIE,NEUROLOGIE,ORL,ONCOLOGIE,OPHTALMOLOGIE,PEDIATRIE,PNEUMOLOGIE,PSYCHIATRIE,RADIOLOGIE,RADIO_THERAPIE,REANIMATION,RHUMATOLOGIE,SPECIALITE,DEPASSEMENT
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,ANESTHESIE,67.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,REANIMATION,
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,CARDIOLOGIE,
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,CHIR_INFANT,
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,STOMATOLOGIE,0.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,CHIR_PLASTIQUE,18.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,CHIR_CARDIO,14.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,CHIR_VASCULAIRE,0.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,CHIR_DISGESTIVE,
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,CHIRURGIE,0.0
